,Unnamed: 0,Uni,Links,Target Link
29,29,AYDIN ADNAN MENDERES ÜNİVERSİTESİ,adu.edu.tr,https://avesis.adu.edu.tr/proxy/search/_search
30,30,BAHÇEŞEHİR ÜNİVERSİTESİ,bahcesehir.edu.tr,https://avesis.bahcesehir.edu.tr/proxy/search/_search
31,31,BALIKESİR ÜNİVERSİTESİ,balikesir.edu.tr,https://avesis.balikesir.edu.tr/proxy/search/_search
32,32,BANDIRMA ONYEDİ EYLÜL ÜNİVERSİTESİ,bandirma.edu.tr,https://avesis.bandirma.edu.tr/proxy/search/_search
33,33,BARTIN ÜNİVERSİTESİ,bartin.edu.tr,https://avesis.bartin.edu.tr/proxy/search/_search
34,34,BAŞKENT ÜNİVERSİTESİ,baskent.edu.tr,https://avesis.baskent.edu.tr/proxy/search/_search
35,35,BATMAN ÜNİVERSİTESİ,batman.edu.tr,https://avesis.batman.edu.tr/proxy/search/_search
36,36,BAYBURT ÜNİVERSİTESİ,bayburt.edu.tr,https://avesis.bayburt.edu.tr/proxy/search/_search
37,37,BEYKOZ ÜNİVERSİTESİ,beykoz.edu.tr,https://avesis.beykoz.edu.tr/proxy/search/_search
38,38,BEZM-İ ÂLEM VAKIF ÜNİVERSİTESİ,bezmialem.edu.tr,https://avesis.bezmialem.edu.tr/proxy/search/_search
39,39,BİLECİK ŞEYH EDEBALİ ÜNİVERSİTESİ,bilecik.edu.tr,https://avesis.bilecik.edu.tr/proxy/search/_search
40,40,BİNGÖL ÜNİVERSİTESİ,bingol.edu.tr,https://avesis.bingol.edu.tr/proxy/search/_search
41,41,BİRUNİ ÜNİVERSİTESİ,biruni.edu.tr,https://avesis.biruni.edu.tr/proxy/search/_search
42,42,BİTLİS EREN ÜNİVERSİTESİ,beu.edu.tr,https://avesis.beu.edu.tr/proxy/search/_search
43,43,BOĞAZİÇİ ÜNİVERSİTESİ,boun.edu.tr,https://avesis.boun.edu.tr/proxy/search/_search
44,44,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,ibu.edu.tr,https://avesis.ibu.edu.tr/proxy/search/_search
45,45,BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ,mehmetakif.edu.tr,https://avesis.mehmetakif.edu.tr/proxy/search/_search
46,46,BURSA TEKNİK ÜNİVERSİTESİ,btu.edu.tr,https://avesis.btu.edu.tr/proxy/search/_search
47,47,BURSA ULUDAĞ ÜNİVERSİTESİ,uludag.edu.tr,https://avesis.uludag.edu.tr/proxy/search/_search
48,48,ÇAĞ ÜNİVERSİTESİ,cag.edu.tr,https://avesis.cag.edu.tr/proxy/search/_search
49,49,ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ,comu.edu.tr,https://avesis.comu.edu.tr/proxy/search/_search
50,50,ÇANKAYA ÜNİVERSİTESİ,cankaya.edu.tr,https://avesis.cankaya.edu.tr/proxy/search/_search
51,51,ÇANKIRI KARATEKİN ÜNİVERSİTESİ,karatekin.edu.tr,https://avesis.karatekin.edu.tr/proxy/search/_search
52,52,ÇUKUROVA ÜNİVERSİTESİ,cu.edu.tr,https://avesis.cu.edu.tr/proxy/search/_search
53,53,DEMİROĞLU BİLİM ÜNİVERSİTESİ,demiroglu.bilim.edu.tr,https://avesis.demiroglu.bilim.edu.tr/proxy/search/_search
54,54,DİCLE ÜNİVERSİTESİ,dicle.edu.tr,https://avesis.dicle.edu.tr/proxy/search/_search
55,55,DOĞUŞ ÜNİVERSİTESİ,dogus.edu.tr,https://avesis.dogus.edu.tr/proxy/search/_search
56,56,DOKUZ EYLÜL ÜNİVERSİTESİ,deu.edu.tr,https://avesis.deu.edu.tr/proxy/search/_search
57,57,DÜZCE ÜNİVERSİTESİ,duzce.edu.tr,https://avesis.duzce.edu.tr/proxy/search/_search
58,58,EGE ÜNİVERSİTESİ,ege.edu.tr,https://avesis.ege.edu.tr/proxy/search/_search
59,59,ERCİYES ÜNİVERSİTESİ,erciyes.edu.tr,https://avesis.erciyes.edu.tr/proxy/search/_search
60,60,ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ,erzincan.edu.tr,https://avesis.erzincan.edu.tr/proxy/search/_search
61,61,ERZURUM TEKNİK ÜNİVERSİTESİ,erzurum.edu.tr,https://avesis.erzurum.edu.tr/proxy/search/_search
62,62,ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ,ogu.edu.tr,https://avesis.ogu.edu.tr/proxy/search/_search
63,63,ESKİŞEHİR TEKNİK ÜNİVERSİTESİ,eskisehir.edu.tr,https://avesis.eskisehir.edu.tr/proxy/search/_search
64,64,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,fsm.edu.tr,https://avesis.fsm.edu.tr/proxy/search/_search
65,65,FENERBAHÇE ÜNİVERSİTESİ,fbu.edu.tr,https://avesis.fbu.edu.tr/proxy/search/_search
66,66,FIRAT ÜNİVERSİTESİ,firat.edu.tr,https://avesis.firat.edu.tr/proxy/search/_search
67,67,GALATASARAY ÜNİVERSİTESİ,gsu.edu.tr,https://avesis.gsu.edu.tr/proxy/search/_search
68,68,GAZİ ÜNİVERSİTESİ,gazi.edu.tr,https://avesis.gazi.edu.tr/proxy/search/_search
69,69,GAZİANTEP İSLAM BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,gibtu.edu.tr,https://avesis.gibtu.edu.tr/proxy/search/_search
70,70,GAZİANTEP ÜNİVERSİTESİ,gantep.edu.tr,https://avesis.gantep.edu.tr/proxy/search/_search
71,71,GEBZE TEKNİK ÜNİVERSİTESİ,gtu.edu.tr,https://avesis.gtu.edu.tr/proxy/search/_search
72,72,GİRESUN ÜNİVERSİTESİ,giresun.edu.tr,https://avesis.giresun.edu.tr/proxy/search/_search
73,73,GÜMÜŞHANE ÜNİVERSİTESİ,gumushane.edu.tr,https://avesis.gumushane.edu.tr/proxy/search/_search
74,74,HACETTEPE ÜNİVERSİTESİ,hacettepe.edu.tr,https://avesis.hacettepe.edu.tr/proxy/search/_search
75,75,HAKKARİ ÜNİVERSİTESİ,hakkari.edu.tr,https://avesis.hakkari.edu.tr/proxy/search/_search
76,76,HALİÇ ÜNİVERSİTESİ,halic.edu.tr,https://avesis.halic.edu.tr/proxy/search/_search
77,77,HARRAN ÜNİVERSİTESİ,harran.edu.tr,https://avesis.harran.edu.tr/proxy/search/_search
78,78,HASAN KALYONCU ÜNİVERSİTESİ,hku.edu.tr,https://avesis.hku.edu.tr/proxy/search/_search
79,79,HATAY MUSTAFA KEMAL ÜNİVERSİTESİ,mku.edu.tr,https://avesis.mku.edu.tr/proxy/search/_search
80,80,HİTİT ÜNİVERSİTESİ,hitit.edu.tr,https://avesis.hitit.edu.tr/proxy/search/_search
81,81,IĞDIR ÜNİVERSİTESİ,igdir.edu.tr,https://avesis.igdir.edu.tr/proxy/search/_search
82,82,ISPARTA UYGULAMALI BİLİMLER ÜNİVERSİTESİ,isparta.edu.tr,https://avesis.isparta.edu.tr/proxy/search/_search
83,83,IŞIK ÜNİVERSİTESİ,isikun.edu.tr,https://avesis.isikun.edu.tr/proxy/search/_search
84,84,İBN HALDUN ÜNİVERSİTESİ,ihu.edu.tr,https://avesis.ihu.edu.tr/proxy/search/_search
85,85,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,bilkent.edu.tr,https://avesis.bilkent.edu.tr/proxy/search/_search
86,86,İNÖNÜ ÜNİVERSİTESİ,inonu.edu.tr,https://avesis.inonu.edu.tr/proxy/search/_search
87,87,İSKENDERUN TEKNİK ÜNİVERSİTESİ,iste.edu.tr,https://avesis.iste.edu.tr/proxy/search/_search
88,88,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,29mayis.edu.tr,https://avesis.29mayis.edu.tr/proxy/search/_search
89,89,İSTANBUL AREL ÜNİVERSİTESİ,arel.edu.tr,https://avesis.arel.edu.tr/proxy/search/_search
90,90,İSTANBUL ATLAS ÜNİVERSİTESİ,atlas.edu.tr,https://avesis.atlas.edu.tr/proxy/search/_search
91,91,İSTANBUL AYDIN ÜNİVERSİTESİ,aydin.edu.tr,https://avesis.aydin.edu.tr/proxy/search/_search
92,92,İSTANBUL BEYKENT ÜNİVERSİTESİ,beykent.edu.tr,https://avesis.beykent.edu.tr/proxy/search/_search
93,93,İSTANBUL BİLGİ ÜNİVERSİTESİ,bilgi.edu.tr,https://avesis.bilgi.edu.tr/proxy/search/_search
94,94,İSTANBUL ESENYURT ÜNİVERSİTESİ,esenyurt.edu.tr,https://avesis.esenyurt.edu.tr/proxy/search/_search
95,95,İSTANBUL GALATA ÜNİVERSİTESİ,galata.edu.tr,https://avesis.galata.edu.tr/proxy/search/_search
